Date,Video Folder,Video #,Trial,Tank,Group,Novel Food,Novel Start,novel_bite1,novel_bite2,novel_bite3,novel_bite4,novel_bite5,novel_bite6,novel_bite7,novel_bite8,Drop,Drop-30Secs,Start Activity,activity_numchases,activity_timechases,novel_numchases,novel_timechases,,Done?,,,,,,,,,
8/17/17,RH2 81717,1,2,3,4A,Bead,29:05:00,3,176,300,NA,,,,,9:53,9:23,4:23,1,2745,8,15936,,1,,,,,,,,,
8/17/17,RH2 81717,1,2,4,4B,Bead,30:35:00,5,45,300,300,,,,,9:53,9:23,4:23,0,0,0,0,,1,,,,,,,,,
8/17/17,RH2 81717,2,2,4,4F,Bead,24:23:00,6,95,300,300,,,,,9:11,8:41,3:41,0,0,3,10345,,1,,,,,,,,,
8/18/17,RH3,2,2,5,8O,Bead,25:51:00,6,17,35,126,88,9,28,9,9:35,9:05,4:05,30,63771,13,19430,,1,,,,,,,,,
8/20/17,RH3,1,3,5,8O,Plastic,28:05:00,233,139,165,173,97,1,157,212,8:58,8:28,3:28,51,99414,51,98223,,1,,,,,,,,,
9/28/17,RH3,1,1,6,8B_2,Brine,35:41:00,133,16,10,56,3,300,60,70,11:23,10:53,5:53,1,471,13,15189,,1,,,,,,,,,
9/28/17,RH3,2,1,5,8E_2,Brine,30:56:00,173,36,43,7,300,5,27,92,9:00,8:30,3:30,1,568,28,39585,,1,,,,,,,,,
9/28/17,RH3,2,1,6,8F_2,Brine,31:41:00,4,3,300,11,8,6,300,300,9:00,8:30,3:30,0,0,38,76068,,1,,,,,,,,,
9/29/17,RH3,1,1,5,8I_2,Brine,35:50:00,300,4,13,300,11,300,72,300,16:51,16:21,11:21,18,45691,23,51226,,1,,,,,,,,,
9/29/17,RH3,1,1,6,8J_2,Brine,36:29:00,20,4,5,9,51,30,158,92,16:51,16:21,11:21,1,2592,6,19660,,1,,,,,,,,,
9/29/17,RH3,2,1,5,8M_2,Brine,29:58:00,5,6,3,10,7,5,19,31,9:40,9:10,4:10,8,12760,16,31009,,1,,,,,,,,,
9/29/17,RH3,2,1,6,8N_2,Brine,30:26:00,10,9,116,300,19,NA,12,84,9:40,9:10,4:10,3,4207,14,28976,,1,,,,,,,,,
9/30/17,RH3,1,2,5,8E_2,Bead,32:39:00,8,11,13,21,300,300,300,300,9:56,9:26,4:26,53,143668,55,127290,,1,,,,,,,,,
9/30/17,RH3,1,2,6,8F_2,Bead,33:45:00,2,14,NA,300,300,300,NA,NA,9:56,9:26,4:26,24,32453,18,16401,,1,,,,,,,,,
10/1/17,RH3,1,2,5,8I_2,Bead,30:43:00,2,4,300,300,300,110,300,300,11:41,11:11,6:11,26,89368,14,40242,,1,,,,,,,,,
10/1/17,RH3,2,2,5,8M_2,Bead,30:39:00,3,300,7,31,14,2,20,241,10:50,10:20,5:20,7,12865,36,96258,,1,,,,,,,,,
10/1/17,RH3,2,2,6,8N_2,Bead,30:31:00,31,3,11,300,4,NA,16,300,10:50,10:20,5:20,5,5500,23,25460,,1,,,,,,,,,
10/2/17,RH3,1,3,5,8E_2,Plastic,28:52:00,300,140,35,4,50,11,16,300,10:19,9:49,4:49,12,10058,12,11359,,1,,,,,,,,,
10/3/17,RH3,1,3,5,8M_2,Plastic,29:26:00,56,91,4,NA,65,4,9,300,9:09,8:39,3:39,52,71615,34,43543,,1,,,,,,,,,
10/3/17,RH3,1,3,6,8N_2,Plastic,29:09:00,3,17,300,170,39,11,20,NA,9:09,8:39,3:39,1,905,4,2720,,1,,,,,,,,,
10/7/17,RH3,1,1,5,8A_3,Brine,33:16:00,2,4,4,9,5,5,300,300,11:34,11:04,6:04,2,2144,24,20009,,1,,,,,,,,,
10/7/17,RH3,1,1,6,8B_3,Brine,34:20:00,NA,1,2,2,5,7,300,300,11:34,11:04,6:04,,,,,,,video cuts off part of this tanks,,,,,,,,
10/7/17,RH3,2,1,5,8E_3,Brine,29:43:00,6,58,19,300,16,15,171,300,11:38,11:08,6:08,0,0,9,9170,,1,,,,,,,,,
10/8/17,RH3,1,1,5,8I_3,Brine,26:35:00,11,6,10,37,5,33,17,51,8:56,8:26,3:26,0,0,1,737,,1,,,,,,,,,
10/8/17,RH3,1,1,6,8J_3,Brine,25:55:00,61,20,300,33,12,17,9,29,8:56,8:26,3:26,6,6699,9,5099,,1,,,,,,,,,
10/9/17,RH3,1,2,5,8A_3,Bead,29:24:00,3,1,2,8,5,300,132,35,10:47,10:17,5:17,3,1833,30,31646,,1,,,,,,,,,
10/9/17,RH3,1,2,6,8B_3,Bead,28:52:00,23,2,5,5,4,4,4,131,10:47,10:17,5:17,0,0,21,13055,,1,,,,,,,,,
10/9/17,RH3,2,2,5,8E_3,Bead,27:06:00,90,300,3,13,43,18,155,300,9:32,9:02,4:02,1,336,36,37408,,1,,,,,,,,,
10/10/17,RH3,1,2,5,8I_3,Bead,28:14:00,79,8,3,138,3,12,72,300,10:11,9:41,4:41,1,752,2,1992,,1,,,,,,,,,
10/10/17,RH3,1,2,6,8J_3,Bead,26:05:00,9,300,138,8,6,7,300,NA,10:11,9:41,4:41,40,60373,37,41366,,1,,,,,,,,,
10/11/17,RH3,1,3,5,8A_3,Plastic,30:13:00,8,5,6,300,3,300,NA,NA,10:14,9:44,4:44,18,16696,15,10999,,1,,,,,,,,,
10/11/17,RH3,1,3,6,8B_3,Plastic,30:26:00,5,6,3,21,5,9,300,10,10:14,9:44,4:44,1,319,16,9436,,1,,,,,,,,,
10/12/17,RH3,1,3,5,8I_3,Plastic,26:09:00,6,39,300,300,4,4,86,7,9:25,8:55,3:55,0,0,0,0,,1,,,,,,,,,
10/12/17,RH3,1,3,6,8J_3,Plastic,25:35:00,4,5,61,8,300,38,300,300,9:25,8:55,3:55,37,58532,18,16637,,1,,,,,,,,,
8/19/17,RH3 ,1,3,6,8F,Plastic,31:52:00,7,48,NA,NA,NA,54,NA,NA,10:57,10:27,5:27,0,0,NA,NA,,1,video cut short (no chases in first 3 minutes and 53 seconds),,,,,,,,
8/15/17,RH3 81517,1,1,5,8B,Brine,32:53:00,23,7,300,7,40,10,74,300,13:57,13:27,8:27,29,43072,38,51676,,1,,,,,,,,,
8/15/17,RH3 81517,1,1,6,8D,Brine,36:08:00,5,7,5,9,6,9,22,NA,13:57,13:27,8:27,9,8053,15,19627,,1,,,,,,,,,
8/15/17,RH3 81517,2,1,6,8F,Brine,30:22:00,96,8,5,300,31,5,8,NA,9:52,9:22,4:22,0,0,6,9293,,1,,,,,,,,,
8/16/17,RH3 81617,2,1,6,8I,Brine,29:43:00,5,9,NA,300,3,NA,NA,300,10:06,9:36,4:36,0,0,20,37854,,1,,,,,,,,,
8/16/17,RH3 81617,2,1,5,8J,Brine,28:54:00,2,6,13,6,38,8,11,NA,10:06,9:36,4:36,1,392,3,1260,,1,,,,,,,,,
8/16/17,RH3 81617,3,1,5,8O,Brine,26:51:00,29,13,19,273,9,9,134,300,8:35,8:05,3:05,1,486,31,54545,,1,,,,,,,,,
8/16/17,RH3 81617,3,1,6,8P,Brine,27:33:00,7,7,6,300,8,15,15,NA,8:35,8:05,3:05,11,7431,10,11953,,1,,,,,,,,,
8/17/17,RH3 81717,1,2,6,8D,Bead,27:17:00,NA,NA,NA,NA,NA,NA,NA,NA,10:11,9:41,4:41,0,0,0,0,,1,,,,,,,,,
8/17/17,RH3 81717,2,2,6,8F,Bead,23:58,5,4,26,2,4,NA,249,212,8:56,8:26,3:26,0,0,18,15665,,1,,,,,,,,,
8/18/17,RH4,1,2,8,2L,Bead,29:27:00,26,94,,,,,,,10:47,10:17,5:17,0,0,1,295,,1,,,,,,,,,
8/18/17,RH4,2,2,7,2O,Bead,23:49,10,14,,,,,,,8:24,7:54,2:54,0,0,2,1232,,1,,,,,,,,,
8/18/17,RH4,2,2,8,2P,Bead,23:13,149,240,,,,,,,8:24,7:54,2:54,0,0,1,440,,1,,,,,,,,,
8/19/17,RH4,1,3,7,2C,Plastic,33:18:00,13,300,,,,,,,11:41,11:11,6:11,6,11799,0,0,,1,,,,,,,,,
8/19/17,RH4,1,3,8,2D,Plastic,33:57:00,3,32,,,,,,,11:41,11:11,6:11,11,37026,4,16031,,1,,,,,,,,,
8/19/17,RH4,2,3,8,2G,Plastic,23:04,10,300,,,,,,,7:39,7:09,2:09,14,143599,20,114353,,1,,,,,,,,,
8/19/17,RH4,2,3,7,2H,Plastic,23:05,300,300,,,,,,,7:39,7:09,2:09,0,0,0,0,,1,,,,,,,,,
8/20/17,RH4,1,3,8,2L,Plastic,32:29:00,11,257,,,,,,,14:18,13:48,8:48,0,0,0,0,,1,,,,,,,,,
8/20/17,RH4,2,3,7,2O,Plastic,24:47:00,16,287,,,,,,,9:35,9:05,4:05,7,167075,11,55244,,1,,,,,,,,,
8/20/17,RH4,2,3,8,2P,Plastic,24:02:00,5,21,,,,,,,9:35,9:05,4:05,0,0,0,0,,1,,,,,,,,,
9/28/17,RH4,"1,2",1,7,2C_2,Brine,36:02:00,68,300,,,,,,,11:03,10:43,5:43,0,0,0,0,,1,,,,,,,,,
9/28/17,RH4,"1,2",1,8,2D_2,Brine,36:35:00,11,13,,,,,,,11:03,10:43,5:43,0,0,8,44660,,1,,,,,,,,,
9/28/17,RH4,"3,4",1,7,2G_2,Brine,32:37:00,82,300,,,,,,,9:28,8:58,3:58,0,0,0,0,,1,,,,,,,,,
9/28/17,RH4,"3,4",1,8,2H_2,Brine,32:10:00,63,300,,,,,,,9:28,8:58,3:58,8,33372,0,0,,1,,,,,,,,,
9/29/17,RH4,1,1,7,2L_2,Brine,27:42:00,18,55,,,,,,,9:38,9:08,4:08,23,131984,20,173280,,1,coded as video 2 but I think it must be video 1,,,,,,,,
9/29/17,RH4,1,1,8,2M_2,Brine,27:18:00,240,300,,,,,,,9:38,9:08,4:08,0,0,0,0,,1,coded as video 2 but I think it must be video 1,,,,,,,,
9/29/17,RH4,2,1,7,2P_2,Brine,29:49:00,6,300,,,,,,,9:21,8:51,3:51,0,0,0,0,,1,coded as video 3 but I think it must be video 2,,,,,,,,
9/30/17,RH4,1,2,7,2C_2,Bead,33:06:00,60,300,,,,,,,10:26,9:56,4:56,0,0,3,1083,,1,,,,,,,,,
9/30/17,RH4,1,2,8,2D_2,Bead,32:44:00,104,300,,,,,,,10:26,9:56,4:56,0,0,12,46428,,1,,,,,,,,,
9/30/17,RH4,2,2,7,2G_2,Bead,31:13:00,300,300,,,,,,,10:36,10:06,5:06,0,0,0,0,,1,,,,,,,,,
10/1/17,RH4,1,2,7,2L_2,Bead,31:48:00,9,21,,,,,,,12:11,11:41,6:41,15,218284,13,75810,,1,,,,,,,,,
10/1/17,RH4,1,2,8,2M_2,Bead,32:13:00,91,300,,,,,,,12:11,11:41,6:41,0,0,1,1736,,1,,,,,,,,,
10/1/17,RH4,2,2,7,2P_2,Bead,29:12:00,5,300,,,,,,,10:23,9:53,4:23,0,0,0,0,,1,,,,,,,,,
