date_time,camera,video,trial,tank,group_ID,treatment,novel_bite1,novel_bite2,novel_bite3,novel_bite4,novel_bite5,novel_bite6,novel_bite7,novel_bite8,novel_numchases,novel_timechases,,,,,,,,,,,
10/9/17,5,2,2,10,4H_3,4,2,3,4,6,,,,,1,854,,,,,,,,,,,
10/11/17,5,2,3,10,4H_3,4,1,2,2,3,,,,,0,0,,,,,,,,,,,
8/16/17,2,,1,3,4I,4,14,25,151,274,,,,,2,2509,,,,,,,,,,,
9/29/17,2,1,1,2,4I_2,4,69,72,N/A,N/A,,,,,1,1039,,,,,,,,,,,
10/1/17,2,1,2,3,4I_2,4,27,28,54,300,,,,,0,0,,,,,,,,,,,
10/8/17,2,1,1,3,4I_3,4,300,300,300,N/A,,,,,0,0,,,,,,,,,,,
10/10/17,2,1,2,3,4I_3,4,74,85,N/A,N/A,,,,,4,3944,,,,,,,,,,,
8/16/17,5,,1,10,4J,4,3,3,4,5,,,,,9,33073,,,,,,,,,,,
8/18/17,5,,2,10,4J,4,2,2,21,N/A,,,,,12,29584,,,,,,,,,,,
8/20/17,5,"1,2",3,10,4J,4,2,N/A,N/A,N/A,,,,,0,0,*** Only saw one fish the whole 5 minutes,,,,,,,,,,
9/29/17,2,2,1,3,4J_2,4,5,22,30,149,,,,,4,7100,,,,,,,,,,,
10/8/17,2,1,1,4,4J_3,4,2,3,300,300,,,,,0,0,Two food drops,,,,,,,,,,
10/10/17,2,1,2,4,4J_3,4,5,14,27,288,,,,,2,4428,,,,,,,,,,,
8/16/17,2,,1,4,4K,4,2,2,5,6,,,,,2,3358,,,,,,,,,,,
8/18/17,2,,2,4,4K,4,2,3,4,6,,,,,1,1714,,,,,,,,,,,
8/20/17,2,1,3,4,4K,4,2,2,3,3,,,,,3,4759,,,,,,,,,,,
9/29/17,5,1,1,9,4K_2,4,8,8,9,300,,,,,6,11848,,,,,,,,,,,
8/16/17,5,,1,9,4L,4,9,27,54,N/A,,,,,15,68221,,,,,,,,,,,
8/18/17,5,,2,9,4L,4,2,7,300,300,,,,,13,124455,,,,,,,,,,,
9/29/17,5,1,1,10,4L_2,4,5,9,14,300,,,,,2,2970,*fourth fish seems near death,,,,,,,,,,
8/16/17,2,,1,3,4M,4,3,3,8,20,,,,,0,0,,,,,,,,,,,
9/29/17,2,1,1,3,4M_2,4,19,51,56,140,,,,,2,2630,,,,,,,,,,,
10/1/17,2,2,2,3,4M_2,4,3,4,4,13,,,,,8,36251,,,,,,,,,,,
10/3/17,2,1,3,3,4M_2,4,3,3,4,300,,,,,4,5298,,,,,,,,,,,
8/16/17,2,,1,4,4N,4,4,21,29,53,,,,,11,55142,,,,,,,,,,,
8/18/17,2,,2,4,4N,4,3,6,8,10,,,,,19,34909,,,,,,,,,,,
8/20/17,2,2,3,4,4N,4,3,4,5,5,,,,,0,0,,,,,,,,,,,
8/16/17,5,,1,9,4O,4,5,300,300,300,,,,,0,0,,,,,,,,,,,
9/29/17,2,2,1,4,4O_2,4,6,9,21,37,,,,,7,11899,,,,,,,,,,,
10/1/17,2,2,2,4,4O_2,4,2,3,4,10,,,,,24,20179,,,,,,,,,,,
10/3/17,2,1,3,4,4O_2,4,2,2,2,300,,,,,38,78328,,,,,,,,,,,
8/16/17,5,,1,10,4P,4,3,6,12,31,,,,,1,893,,,,,,,,,,,
9/29/17,5,2,1,9,4P_2,4,1,2,3,300,,,,,11,32608,,,,,,,,,,,
10/1/17,5,1,2,9,4P_2,4,1,2,2,300,,,,,14,38164,,,,,,,,,,,
10/3/17,5,"1,2",3,9,4P_2,4,1,5,34,N/A,,,,,8,16448,,,,,,,,,,,
10/7/17,RH3,1,1,5,8A_3,8,1,2,2,2,3,4,31,300,7,4760,,,,,,,,,,,
10/9/17,3,1,2,5,8A_3,8,2,3,4,5,14,28,77,239,15,21267,,,,,,,,,,,
10/11/17,3,1,3,5,8A_3,8,1,1,1,2,7,18,300,300,30,58372,,,,,,,,,,,
8/15/17,3,,1,5,8B,8,1,2,3,3,11,13,300,N/A,7,6192,8th fish doesn't move for almost the whole trial I think it was mostly dead,,,,,,,,,,
9/28/17,3,1,1,6,8B_2,8,13,15,41,94,300,300,N/A,N/A,0,0,,,,,,,,,,,
10/7/17,RH3,1,1,6,8B_3,8,4,4,4,5,5,13,45,54,7,4655,,,,,,,,,,,
10/9/17,3,1,2,6,8B_3,8,2,3,3,6,6,8,15,39,22,28922,,,,,,,,,,,
10/11/17,3,1,3,6,8B_3,8,1,1,2,2,4,6,7,300,23,17303,,,,,,,,,,,
9/28/17,6,1,1,11,8C_2,8,3,5,8,9,9,13,91,300,5,4601,*8th fish barely moves looks pretty dead,,,,,,,,,,
10/7/17,RH6,1,1,11,8C_3,8,2,4,6,7,11,13,18,37,0,0,,,,,,,,,,,
10/9/17,6,1,2,11,8C_3,8,1,2,2,3,3,4,9,10,1,923,,,,,,,,,,,
10/11/17,6,1,3,11,8C_3,8,2,2,4,5,7,7,14,20,2,5718,,,,,,,,,,,
