Trial,Tank,Group,Food_given,Leftover_food,Leftover_novel,Group_size,,,,,,,
3,9,4P_2,8,0,NA,4,,,,,,,
1,1,2A_3,4,0,0,2,,,,,,,
1,2,2B_3,4,1,0,2,,,,,,,
1,3,4A_3,8,0,0,4,,,,,,,
1,4,4B_3,8,6,0,4,,,,,,,
1,5,8A_3,16,0,0,8,,,,,,,
1,6,8B_3,16,0,0,8,,,,,,,
1,11,8C_3,16,6,0,8,,,,,,,
1,12,8D_3,16,4,0,8,,,,,,,
1,1,2E_3,4,2,3,2,,,,,,,
1,2,2F_3,4,3,0,2,,,,,,,
1,3,4E_3,8,0,0,4,,,,,,,
1,4,4F_3,8,4,0,4,,,,,,,
1,5,8E_3,16,0,0,8,,,,,,,
1,11,8G_3,16,0,0,8,,,,,,,
1,12,8H_3,16,3,0,8,,,,,,,
1,7,2G_3,4,4,0,2,,,,,,,
1,8,2H_3,4,3,0,2,,,,,,,
1,7,2C_3,4,3,0,2,,,,,,,
1,8,2D_3,4,4,3,2,,,,,,,
1,9,4C_3,8,5,0,4,,,,,,,
1,10,4D_3,8,0,0,4,,,,,,,
1,9,4G_3,8,0,0,4,,,,,,,
1,10,4H_3,8,2,0,4,,,,,,,
1,1,2I_3,4,0,0,2,,,,,,,
1,3,4I_3,8,2,4,4,,,,,,,
1,4,4J_3,8,3,0,4,,,,,,,
1,5,8I_3,16,8,0,8,,,,,,,
1,6,8J_3,16,3,0,8,,,,,,,
1,11,8K_3,16,7,0,8,,,,,,,
1,12,8L_3,16,13,0,8,,,,,,,
2,1,2A_3,4,0,4,2,,,,,,,
2,2,2B_3,4,0,4,2,,,,,,,
2,3,4A_3,8,0,8,4,,,,,,,
2,4,4B_3,8,5,8,4,,,,,,,
2,5,8A_3,16,0,16,8,,,,,,,
2,6,8B_3,16,0,16,8,,,,,,,
2,7,2C_3,4,0,4,2,,,,,,,
2,8,2D_3,4,3,4,2,,,,,,,
2,9,4C_3,8,3,8,4,,,,,,,
2,10,4D_3,8,0,8,4,,,,,,,
2,11,8C_3,16,0,16,8,,,,,,,
2,1,2E_3,4,1,4,2,,,,,,,
2,2,2F_3,4,1,4,2,,,,,,,
2,4,4F_3,8,5,8,4,,,,,,,
2,5,8E_3,16,0,16,8,,,,,,,
2,7,2G_3,4,3,4,2,,,,,,,
2,8,2H_3,4,2,4,2,,,,,,,
2,9,4G_3,8,1,8,4,,,,,,,
2,10,4H_3,8,0,8,4,,,,,,,
2,11,8G_3,16,0,16,8,,,,,,,
2,12,8H_3,16,0,16,8,,,,,,,
2,1,2I_3,4,0,4,2,,,,,,,
2,3,4I_3,8,0,8,4,,,,,,,
2,4,4J_3,8,1,8,4,,,,,,,
2,5,8I_3,16,5,16,8,,,,,,,
2,6,8J_3,16,0,16,8,,,,,,,
2,12,8L_3,16,11,16,8,,,,,,,
3,1,2A_3,4,0,NA,2,,,,,,,
3,2,2B_3,4,0,NA,2,,,,,,,
3,3,4A_3,8,0,NA,4,,,,,,,
3,4,4B_3,8,2,NA,4,,,,,,,
3,5,8A_3,16,0,NA,8,,,,,,,
3,6,8B_3,16,0,NA,8,,,,,,,
3,7,2C_3,4,1,NA,2,,,,,,,
3,8,2D_3,4,4,NA,2,,,,,,,
3,9,4C_3,8,1,NA,4,,,,,,,
3,10,4D_3,8,0,NA,4,,,,,,,
3,11,8C_3,16,1,NA,8,,,,,,,
3,1,2E_3,4,1,NA,2,,,,,,,
3,2,2F_3,4,0,NA,2,,,,,,,
3,4,4F_3,8,5,NA,4,,,,,,,
3,7,2G_3,4,3,NA,2,,,,,,,
3,8,2H_3,4,1,NA,2,,,,,,,
3,9,4G_3,8,0,NA,4,,,,,,,
3,10,4H_3,8,0,NA,4,,,,,,,
3,11,8G_3,16,0,NA,8,,,,,,,
3,12,8H_3,16,0,NA,8,,,,,,,
3,1,2I_3,4,0,NA,2,,,,,,,
3,5,8I_3,16,8,NA,8,,,,,,,
3,6,8J_3,16,0,NA,8,,,,,,,
3,12,8L_3,16,7,NA,8,,,,,,,
,,,,,,,,,,,,,
