Date,Video Folder,Video #,Trial,Tank,Group,activity_numchases,activity_timechases,novel_numchases,novel_timechases,food_numchases,food_timechases,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH3,2,1,6,8F_2,0,0,38,76068,16,23998,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH4,"1,2",1,7,2C_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH4,"3,4",1,7,2G_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH4,"1,2",1,8,2D_2,0,0,8,44660,0,0,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH4,"3,4",1,8,2H_2,8,33372,0,0,2,1836,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH5,"1,2",1,9,4C_2,0,0,9,19939,2,1426,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH5,"3,4",1,9,4G_2,2,3982,1,597,0,0,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH5,"1,2",1,10,4D_2,12,31764,20,62825,6,26220,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH5,"3,4",1,10,4H_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH6,1,1,11,8C_2,31,69860,29,47540,5,4601,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH6,2,1,11,8G_2,0,0,33,77328,6,5961,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH6,1,1,12,8D_2,17,57820,30,88178,14,36538,,,,,,,,,,,,,,,,,,,,,
9/28/17,RH6,2,1,12,8H_2,2,3694,28,40897,3,8023,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH1,"1,2",1,1,2I_2,25,101152,16,49098,15,66413,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH1,3,1,1,2N_2,4,2133,18,50684,4,4468,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH1,"1,2",1,2,2J_2,0,0,16,73823,2,2691,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH1,3,1,2,2O_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH2,1,1,3,4I_2,0,0,0,0,1,1039,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH2,2,1,3,4M_2,0,0,12,37170,2,2630,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH2,1,1,4,4J_2,0,0,0,0,4,7100,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH2,2,1,4,4O_2,3,2085,21,35674,7,11899,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH3,1,1,5,8I_2,18,45691,23,51226,21,45706,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH3,2,1,5,8M_2,8,12760,16,31009,7,1,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH3,1,1,6,8J_2,1,2592,6,19660,1,1288,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH3,2,1,6,8N_2,3,4207,14,28976,2,1589,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH4,1,1,7,2L_2,23,131984,20,173280,19,134640,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH4,2,1,7,2P_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH4,1,1,8,2M_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH5,1,1,9,4K_2,0,0,31,81788,6,11848,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH5,2,1,9,4P_2,0,0,14,23972,11,32608,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH5,1,1,10,4L_2,1,927,0,0,2,2970,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH6,1,1,11,8K_2,0,0,23,40291,0,0,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH6,2,1,11,8O_2,33,69255,32,54273,6,5434,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH6,1,1,12,8L_2,1,666,8,13340,6,7885,,,,,,,,,,,,,,,,,,,,,
9/29/17,RH6,2,1,12,8P_2,0,0,0,0,1,1130,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH1,1,2,1,2A_2,0,0,0,0,1,1415,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH1,2,2,1,2E_2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH1,1,2,2,2B_2,10,15251,10,13364,2,21168,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH1,2,2,2,2F_2,0,0,4,5093,10,36926,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH2,1,2,3,4A_2,3,5418,4,3468,6,10440,,,,,,,,,,,,,,,,,,,,,
9/30/17,RH2,2,2,3,4E_2,0,0,13,29889,10,17698,,,,,,,,,,,,,,,,,,,,,
