Date,Video Folder,Video #,Trial,Tank,Group,Novel Food,Leftover Food,Food Input,Proportion Eaten Food,Leftover Novel,Novel Input,Proportion Eaten Novel,Notes,,,,,,,,
10/10/17,RH3,1,2,5,8I_3,Bead,5,16,0.6875,16,16,0,,,,,,,,,
10/10/17,RH3,1,2,6,8J_3,Bead,0,16,1,16,16,0,,,,,,,,,
8/18/17,RH6,1,2,11,8K,Bead,4,16,0.75,1,16,NA,*beads did not go through,,,,,,,,
10/1/17,RH6,1,2,11,8K_2,Bead,0,16,1,16,16,0,,,,,,,,,
8/18/17,RH6,1,2,12,8L,Bead,4,16,0.75,16,16,0,*novel food items sent through via two rounds,,,,,,,,
10/1/17,RH6,1,2,12,8L_2,Bead,6,16,0.625,16,16,0,,,,,,,,,
10/10/17,RH6,1,2,12,8L_3,Bead,11,16,0.3125,16,16,0,,,,,,,,,
10/1/17,RH3,2,2,5,8M_2,Bead,1,16,0.9375,16,16,0,,,,,,,,,
10/1/17,RH3,2,2,6,8N_2,Bead,0,16,1,16,16,0,,,,,,,,,
8/18/17,RH3,2,2,5,8O,Bead,9,16,0.4375,16,16,0,,,,,,,,,
10/1/17,RH6,2,2,11,8O_2,Bead,3,16,0.8125,16,16,0,,,,,,,,,
10/1/17,RH6,2,2,12,8P_2,Bead,1,16,0.9375,16,16,0,,,,,,,,,
8/15/17,RH1 81517,"1,2",1,1,2A,Brine,3,4,0.25,3,4,0.25,"*Leftovers are lowest estimate, tank emptied before counting",,,,,,,,
9/28/17,RH1,1,1,1,2A_2,Brine,1,4,0.75,0,4,1,,,,,,,,,
10/7/17,RH1,1,1,1,2A_3,Brine,0,4,1,0,4,1,,,,,,,,,
8/15/17,RH1 81517,"1,2",1,2,2B,Brine,4,4,0,4,4,0,*Drop sticky,,,,,,,,
9/28/17,RH1,1,1,2,2B_2,Brine,0,4,1,0,4,1,,,,,,,,,
10/7/17,RH1,1,1,2,2B_3,Brine,1,4,0.75,0,4,1,,,,,,,,,
8/15/17,RH4 81517,"1,2",1,7,2C,Brine,4,4,0,2,4,0.5,,,,,,,,,
9/28/17,RH4,"1,2",1,7,2C_2,Brine,1,4,0.75,0,4,1,,,,,,,,,
10/7/17,RH4,"1,2",1,7,2C_3,Brine,3,4,0.25,0,4,1,,,,,,,,,
8/15/17,RH4 81517,"1,2",1,8,2D,Brine,3,4,0.25,0,4,1,,,,,,,,,
9/28/17,RH4,"1,2",1,8,2D_2,Brine,1,4,0.75,0,4,1,,,,,,,,,
10/7/17,RH4,"1,2",1,8,2D_3,Brine,4,4,0,3,4,0.25,,,,,,,,,
8/15/17,RH1 81517,3,1,1,2E,Brine,2,4,0.5,2,4,0.5,,,,,,,,,
9/28/17,RH1,2,1,1,2E_2,Brine,2,4,0.5,1,4,0.75,,,,,,,,,
10/7/17,RH1,2,1,1,2E_3,Brine,2,4,0.5,3,4,0.25,,,,,,,,,
8/15/17,RH1 81517,3,1,2,2F,Brine,2,4,0.5,4,4,0,"*drop sticky, retested after",,,,,,,,
9/28/17,RH1,2,1,2,2F_2,Brine,2,4,0.5,1,4,0.75,,,,,,,,,
10/7/17,RH1,2,1,2,2F_3,Brine,3,4,0.25,0,4,1,,,,,,,,,
8/15/17,RH4 81517,3,1,8,2G,Brine,3,4,0.25,0,4,1,"*drop sticky, retested after",,,,,,,,
9/28/17,RH4,"3,4",1,7,2G_2,Brine,2,4,0.5,0,4,1,,,,,,,,,
10/7/17,RH4,3,1,7,2G_3,Brine,4,4,0,0,4,1,,,,,,,,,
8/15/17,RH4 81517,3,1,7,2H,Brine,3,4,0.25,0,4,1,,,,,,,,,
9/28/17,RH4,"3,4",1,8,2H_2,Brine,1,4,0.75,0,4,1,,,,,,,,,
10/7/17,RH4,3,1,8,2H_3,Brine,3,4,0.25,0,4,1,,,,,,,,,
8/16/17,RH1 81617,1,1,1,2I,Brine,3,4,0.25,0,4,1,,,,,,,,,
9/29/17,RH1,"1,2",1,1,2I_2,Brine,1,4,0.75,0,4,1,,,,,,,,,
10/8/17,RH1,1,1,1,2I_3,Brine,0,4,1,0,4,1,,,,,,,,,
8/16/17,RH1 81617,1,1,2,2J,Brine,2,4,0.5,0,4,1,,,,,,,,,
9/29/17,RH1,"1,2",1,2,2J_2,Brine,0,4,1,0,4,1,,,,,,,,,
8/16/17,RH4 81617,"1,2",1,7,2K,Brine,3,4,0.25,0,4,1,,,,,,,,,
8/16/17,RH4 81617,"1,2",1,8,2L,Brine,3,4,0.25,0,4,1,,,,,,,,,
9/29/17,RH4,1,1,7,2L_2,Brine,0,4,1,0,4,1,,,,,,,,,
8/16/17,RH1 81617,2,1,1,2M,Brine,4,4,0,0,4,1,,,,,,,,,
9/29/17,RH4,1,1,8,2M_2,Brine,3,4,0.25,0,4,1,,,,,,,,,
8/16/17,RH1 81617,2,1,2,2N,Brine,2,4,0.5,1,4,0.75,,,,,,,,,
9/29/17,RH1,3,1,1,2N_2,Brine,1,4,0.75,1,4,0.75,,,,,,,,,
8/16/17,RH4 81617,"3,4",1,7,2O,Brine,3,4,0.25,0,8,1,*+4 more novel food items,,,,,,,,
9/29/17,RH1,3,1,2,2O_2,Brine,4,4,0,1,4,0.75,,,,,,,,,
8/16/17,RH4 81617,"3,4",1,8,2P,Brine,2,4,0.5,5.5,8,0.3125,*+4 more novel food items,,,,,,,,
9/29/17,RH4,2,1,7,2P_2,Brine,3,4,0.25,1,4,0.75,,,,,,,,,
8/15/17,RH2 81517,1,1,3,4A,Brine,4,8,0.5,0,8,1,,,,,,,,,
9/28/17,RH2,1,1,3,4A_2,Brine,0,8,1,6,8,0.25,,,,,,,,,
10/7/17,RH2,1,1,3,4A_3,Brine,0,8,1,0,8,1,,,,,,,,,
8/15/17,RH2 81517,1,1,4,4B,Brine,3,8,0.625,0,8,1,,,,,,,,,
9/28/17,RH2,1,1,4,4B_2,Brine,4,8,0.5,3,8,0.625,,,,,,,,,
10/7/17,RH2,1,1,4,4B_3,Brine,6,8,0.25,0,8,1,,,,,,,,,
8/15/17,RH5 81517,"1,2",1,9,4C,Brine,1,8,0.875,0,8,1,"*Drop broke during trial, replaced string after",,,,,,,,
9/28/17,RH5,"1,2",1,9,4C_2,Brine,0,8,1,0,8,1,,,,,,,,,
10/7/17,RH5,"1,2",1,9,4C_3,Brine,5,8,0.375,0,8,1,,,,,,,,,
8/15/17,RH5 81517,"1,2",1,10,4D,Brine,2,8,0.75,1,8,0.875,,,,,,,,,
9/28/17,RH5,"1,2",1,10,4D_2,Brine,3,8,0.625,0,8,1,,,,,,,,,
10/7/17,RH5,"1,2",1,10,4D_3,Brine,0,8,1,0,8,1,,,,,,,,,
8/15/17,RH2 81517,2,1,3,4E,Brine,4,8,0.5,0,8,1,,,,,,,,,
9/28/17,RH2,2,1,3,4E_2,Brine,1,8,0.875,0,8,1,,,,,,,,,
10/7/17,RH2,2,1,3,4E_3,Brine,0,8,1,0,8,1,,,,,,,,,
8/15/17,RH2 81517,2,1,4,4F,Brine,5,8,0.375,0,8,1,,,,,,,,,
9/28/17,RH2,2,1,4,4F_2,Brine,2,8,0.75,0,8,1,,,,,,,,,
10/7/17,RH2,2,1,4,4F_3,Brine,4,8,0.5,0,8,1,,,,,,,,,
9/28/17,RH5,"3,4",1,9,4G_2,Brine,1,8,0.875,0,8,1,,,,,,,,,
10/7/17,RH5,"3,4",1,9,4G_3,Brine,0,8,1,0,8,1,,,,,,,,,
9/28/17,RH5,"3,4",1,10,4H_2,Brine,6,8,0.25,0,8,1,,,,,,,,,
10/7/17,RH5,"3,4",1,10,4H_3,Brine,2,8,0.75,0,8,1,,,,,,,,,
8/16/17,RH2 81617,1,1,3,4I,Brine,4,8,0.5,0,8,1,,,,,,,,,
9/29/17,RH2,1,1,3,4I_2,Brine,0,8,1,0,8,1,,,,,,,,,
10/8/17,RH2,1,1,3,4I_3,Brine,2,8,0.75,4,8,0.5,,,,,,,,,
8/16/17,RH5 81617,1,1,10,4J,Brine,5,8,0.375,1.5,8,0.8125,,,,,,,,,
9/29/17,RH2,1,1,4,4J_2,Brine,4,8,0.5,0,8,1,,,,,,,,,
10/8/17,RH2,1,1,4,4J_3,Brine,3,8,0.625,0,8,1,,,,,,,,,
8/16/17,RH2 81617,1,1,4,4K,Brine,4,8,0.5,0,8,1,*-1 food pellet during insert,,,,,,,,
9/29/17,RH5,1,1,9,4K_2,Brine,1,8,0.875,0,8,1,,,,,,,,,
8/16/17,RH5 81617,1,1,9,4L,Brine,2.5,8,0.6875,0,8,1,,,,,,,,,
9/29/17,RH5,1,1,10,4L_2,Brine,0,8,1,3,8,0.625,,,,,,,,,
8/16/17,RH2 81617,2,1,3,4M,Brine,3,8,0.625,0,8,1,,,,,,,,,
9/29/17,RH2,2,1,3,4M_2,Brine,1,8,0.875,0,8,1,,,,,,,,,
8/16/17,RH2 81617,2,1,4,4N,Brine,8,8,0,0,8,1,,,,,,,,,
8/16/17,RH5 81617,2,1,9,4O,Brine,7,8,0.125,5,8,0.375,,,,,,,,,
9/29/17,RH2,2,1,4,4O_2,Brine,0,8,1,0,8,1,,,,,,,,,
8/16/17,RH5 81617,2,1,10,4P,Brine,8,8,0,0,8,1,,,,,,,,,
9/29/17,RH5,2,1,9,4P_2,Brine,0,8,1,0,8,1,,,,,,,,,
10/7/17,RH3,1,1,5,8A_3,Brine,0,16,1,0,16,1,,,,,,,,,
8/15/17,RH3 81517,1,1,5,8B,Brine,3,16,0.8125,0,16,1,,,,,,,,,
