Date,Video Folder,Video #,Trial,Tank,Group,Novel Food,Novel Start,novel_bite1,novel_bite2,novel_bite3,novel_bite4,novel_bite5,novel_bite6,novel_bite7,novel_bite8,,,,,,,,,
10/11/17,RH4,2,3,7,2G_3,Plastic,27:34:00,9,96,,,,,,,,,,,,,,,
9/29/17,RH1,"1,2",1,2,2J_2,Brine,36:11:00,10,300,,,,,,,,,,,,,,,
10/8/17,RH2,1,1,4,4J_3,Brine,26:05:00,10,42,300,300,,,,,,,,,,,,,
8/18/17,RH4,2,2,7,2O,Bead,23:49,10,14,,,,,,,,,,,,,,,
8/19/17,RH4,2,3,8,2G,Plastic,23:04,10,300,,,,,,,,,,,,,,,
10/9/17,RH4,2,2,8,2H_3,Bead,27:45:00,10,300,,,,,,,,,,,,,,,
8/20/17,RH1,2,3,1,2M,Plastic,24:16:00,11,300,,,,,,,,,,,,,,,
8/16/17,RH1 81617,2,1,1,2M,Brine,27:46:00,11,300,,,,,,,,,,,,,,,
10/3/17,RH2,1,3,3,4M_2,Plastic,28:44:00,11,12,4,8,,,,,,,,,,,,,
8/20/17,RH4,1,3,8,2L,Plastic,32:29:00,11,257,,,,,,,,,,,,,,,
9/28/17,RH4,"1,2",1,8,2D_2,Brine,36:35:00,11,13,,,,,,,,,,,,,,,
9/29/17,RH2,1,1,3,4I_2,Brine,36:32:00,12,18,14,226,,,,,,,,,,,,,
8/15/17,RH4 81517,"1,2",1,8,2D,Brine,36:13:00,12,19,,,,,,,,,,,,,,,
8/16/17,RH4 81617,"3,4",1,7,2O,Brine,18:59,12,300,,,,,,,,,,,,,,,
8/19/17,RH4,1,3,7,2C,Plastic,33:18:00,13,300,,,,,,,,,,,,,,,
8/16/17,RH4 81617,"3,4",1,8,2P,Brine,18:31,13,27,,,,,,,,,,,,,,,
9/29/17,RH2,2,1,4,4O_2,Brine,29:43:00,14,13,33,16,,,,,,,,,,,,,
8/15/17,RH4 81517,"1,2",1,7,2C,Brine,35:42:00,14,69,,,,,,,,,,,,,,,
10/7/17,RH1,1,1,2,2B_3,Brine,30:00:00,15,19,,,,,,,,,,,,,,,
10/3/17,RH1,2,3,1,2N_2,Plastic,27:11:00,16,300,,,,,,,,,,,,,,,
8/20/17,RH4,2,3,7,2O,Plastic,24:47:00,16,287,,,,,,,,,,,,,,,
9/29/17,RH4,1,1,7,2L_2,Brine,27:42:00,18,55,,,,,,,coded as video 2 but I think it must be video 1,,,,,,,,
9/30/17,RH1,1,2,1,2A_2,Bead,29:00:00,20,300,,,,,,,,,,,,,,,
10/7/17,RH4,3,1,7,2G_3,Brine,28:54:00,21,29,,,,,,,,,,,,,,,
8/16/17,RH4 81617,"1,2",1,7,2K,Brine,29:38:00,23,100,,,,,,,,,,,,,,,
10/9/17,RH1,1,2,2,2B_3,Bead,29:46:00,24,132,,,,,,,,,,,,,,,
10/1/17,RH2,1,2,3,4I_2,Bead,29:36:00,24,74,300,300,,,,,,,,,,,,,
8/18/17,RH4,1,2,8,2L,Bead,29:27:00,26,94,,,,,,,,,,,,,,,
10/12/17,RH1,1,3,1,2I_3,Plastic,25:04:00,29,291,,,,,,,,,,,,,,,
10/3/17,RH1,1,3,1,2I_2,Plastic,28:03:00,33,300,,,,,,,,,,,,,,,
10/2/17,RH4,1,3,7,2C_2,Plastic,30:15:00,35,225,,,,,,,,,,,,,,,
10/7/17,RH4,3,1,8,2H_3,Brine,28:34:00,36,300,,,,,,,,,,,,,,,
10/1/17,RH1,2,2,1,2N_2,Bead,30:15:00,40,300,,,,,,,,,,,,,,,
10/11/17,RH4,1,3,7,2C_3,Plastic,29:34:00,46,87,,,,,,,,,,,,,,,
8/16/17,RH1 81617,1,1,2,2J,Brine,30:09:00,49,300,,,,,,,,,,,,,,,
8/17/17,RH1 81717,2,2,7,2H,Bead,24:14:00,50,300,,,,,,,,,,,,,,,
8/17/17,RH1 81717,1,2,2,2B,Bead,30:06:00,54,300,,,,,,,,,,,,,,,
9/30/17,RH4,1,2,7,2C_2,Bead,33:06:00,60,300,,,,,,,,,,,,,,,
10/1/17,RH1,2,2,2,2O_2,Bead,30:39:00,63,300,,,,,,,,,,,,,,,
9/28/17,RH4,"3,4",1,8,2H_2,Brine,32:10:00,63,300,,,,,,,,,,,,,,,
9/30/17,RH2,1,2,3,4A_2,Bead,30:28:00,67,124,300,NA,,,,,,,,,,,,,
9/28/17,RH4,"1,2",1,7,2C_2,Brine,36:02:00,68,300,,,,,,,,,,,,,,,
10/9/17,RH1,2,2,1,2E_3,Bead,28:46:00,71,300,,,,,,,,,,,,,,,
10/9/17,RH4,1,2,7,2C_3,Bead,28:17:00,79,118,,,,,,,,,,,,,,,
8/18/17,RH1,1,2,2,2J,Bead,27:24:00,80,300,,,,,,,,,,,,,,,
9/28/17,RH4,"3,4",1,7,2G_2,Brine,32:37:00,82,300,,,,,,,,,,,,,,,
10/1/17,RH1,1,2,1,2I_2,Bead,29:19:00,83,300,,,,,,,,,,,,,,,
10/1/17,RH4,1,2,8,2M_2,Bead,32:13:00,91,300,,,,,,,,,,,,,,,
8/20/17,RH1,1,3,2,2J,Plastic,30:30:00,93,159,,,,,,,,,,,,,,,
9/30/17,RH4,1,2,8,2D_2,Bead,32:44:00,104,300,,,,,,,,,,,,,,,
10/8/17,RH2,1,1,3,4I_3,Brine,25:31:00,113,133,300,300,,,,,,,,,,,,,
9/30/17,RH1,2,2,2,2F_2,Bead,31:24:00,125,300,,,,,,,,,,,,,,,
8/18/17,RH4,2,2,8,2P,Bead,23:13,149,240,,,,,,,,,,,,,,,
10/10/17,RH1,1,2,1,2I_3,Bead,25:27:00,168,175,,,,,,,,,,,,,,,
